id,dcb,rcl,juros,amortizacao,primario,dbp,rec_cor,desp_cor,investimentos,desp_total,rec_previdenciarias,inativos,rec_tributaria,obrig_fin,disp_caixa_bruta
go2009,12617555590,9105639344.77,560449634.91,539136987.29,701169921.58,4545454875.26,12564799098.1,10488968887.49,763374337.4,11805556739.46,283435613.87,1358914732.86,8121869937.13,412796765.56,1508258374.93
go2010,14766699141,10530492989.31,645970511.14,515575071.11,212600911.23,5394761757.77,14728132239.280003,12818102560.54,1179661698.28,14566715600.320002,347041910.59,1598774720.7,9669440452.26,790348443.41,934369461.25
go2011,15724670111.52,12595565221.19,807326147.04,2187473830.53,1974179799.04,5916416472.87,17846335444.07,11959971402.04,526000003.96,14703479396.53,1030540668.01,1760386254.37,11320185393.11,249006125.95,2468952503.52
go2012,16704431659.63,14082824111.62,955811275.32,1111391989.66,987806788.17,6843410734.84,20168639111.99,14325316259.789999,687430462.53,17441751026.129997,1126406903.2,2142827886.25,13360706017.65,1003332697.35,2916916946.56
go2013,17250443942.24,15269900558.18,1198927165.48,1105178890.55,215945731.82,7394274314.76,22283375332.78,15586280172.59,1552628091.67,18606248083.17,1324334044.48,2400448506.96,15601376108.64,416033751.71,2785589897.98
go2014,18092333163.69,16656492150,1053787483.56,1635067428.49,-680584283.33,9392248739.83,24195525366.52,16967349268.49,2530719140.5,21521913043.87,1575791555.17,2733435005.98,16845751507.41,1011671323.86,3334753589.78
go2015,18598354565.23,17361933085.28,1009269178.83,1644101317.11,6025045.41,10385333453.35,25073646340.82,18628550515.85,1491719272.22,21853389628.42,1777506311.09,3265680449.95,17594317305.23,2394741381.73,3456176622.08
go2016,19637800007.17,19279840731.6,927217893.79,1014211050.34,1120417689.47,10857426670.26,27448574763.1,19791725267.11,935839391.62,21791515776.38,1785959706.07,3552667853.9199996,18629985897.2,2073198364.94,2264337107.45
ma2008,5659049338.63,5836925620.42,407812879.58,305409415.81,690076216.22,2335544257.96,7910982615.659998,5699621038.29,853663598.7,6884042404.03,402374107.16,661015047.31,2741029642.79,233166114.16,1354394233.16
ma2009,5334673097.61,5971417207.2,453869334.11,320113620.42,246165177.83,2613116509.09,8285809593.63,6406970154.11,1104567202.48,7884902060.15,455559672.91,617825229.65,2927064522.18,237651276.9,1315128721.87
ma2010,5261187302.23,6814409886.42,555507842.0999999,296443086.83,223269291.52,3204287028.26,9194638314.16,7376867858.309999,1174095103.04,8855893398.18,250276128.96,710117524.48,3469312807.89,425883775.99,1800526281.79
